"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,2,9,NA,1220,NA,NA,1325,NA,"WN",1045,"N431WN","EWR","BWI",NA,169,12,20,2013-02-09 12:00:00
"2",2013,12,30,1434,1419,15,1736,1715,21,"UA",1270,"N16713","EWR","MCO",157,937,14,19,2013-12-30 14:00:00
"3",2013,5,21,1855,1845,10,2153,2150,3,"B6",509,"N568JB","EWR","FLL",142,1065,18,45,2013-05-21 18:00:00
"4",2013,2,8,NA,1835,NA,NA,2212,NA,"DL",1643,"N3764D","JFK","SEA",NA,2422,18,35,2013-02-08 18:00:00
"5",2013,2,10,1809,1548,141,2044,1830,134,"DL",95,"N395DN","JFK","ATL",127,760,15,48,2013-02-10 15:00:00
"6",2013,7,13,2040,1936,64,2305,2247,18,"UA",675,"N418UA","EWR","SEA",298,2402,19,36,2013-07-13 19:00:00
"7",2013,3,21,1722,1640,42,1928,1850,38,"MQ",4540,"N723MQ","LGA","DTW",79,502,16,40,2013-03-21 16:00:00
"8",2013,10,10,725,725,0,952,1000,-8,"UA",1289,"N26210","EWR","LAS",298,2227,7,25,2013-10-10 07:00:00
"9",2013,8,23,629,630,-1,744,744,0,"EV",4533,"N14186","EWR","BUF",48,282,6,30,2013-08-23 06:00:00
"10",2013,6,18,1323,1327,-4,1557,1545,12,"F9",507,"N204FR","LGA","DEN",231,1620,13,27,2013-06-18 13:00:00
"11",2013,7,29,812,756,16,953,930,23,"EV",4125,"N14902","EWR","GSO",76,445,7,56,2013-07-29 07:00:00
"12",2013,6,11,956,1003,-7,1115,1135,-20,"FL",353,"N943AT","LGA","CAK",59,397,10,3,2013-06-11 10:00:00
"13",2013,2,7,605,610,-5,809,817,-8,"DL",1919,"N335NW","LGA","MSP",161,1020,6,10,2013-02-07 06:00:00
"14",2013,6,9,838,840,-2,1120,1146,-26,"UA",1125,"N21108","JFK","LAX",318,2475,8,40,2013-06-09 08:00:00
"15",2013,10,3,2148,2019,89,2358,2240,78,"EV",4333,"N16178","EWR","TUL",170,1215,20,19,2013-10-03 20:00:00
"16",2013,1,21,2045,2020,25,2313,2245,28,"MQ",4662,"N539MQ","LGA","ATL",130,762,20,20,2013-01-21 20:00:00
"17",2013,5,18,1820,1723,57,2057,2011,46,"UA",1166,"N37408","EWR","IAH",191,1400,17,23,2013-05-18 17:00:00
"18",2013,6,29,1818,1759,19,2115,2058,17,"UA",535,"N560UA","JFK","LAX",312,2475,17,59,2013-06-29 17:00:00
"19",2013,12,11,1135,1135,0,1326,1330,-4,"MQ",3281,"N522MQ","LGA","CMH",87,479,11,35,2013-12-11 11:00:00
"20",2013,11,13,948,950,-2,1219,1308,-49,"UA",785,"N813UA","EWR","LAX",306,2454,9,50,2013-11-13 09:00:00
"21",2013,1,22,1202,1145,17,1345,1321,24,"FL",353,"N951AT","LGA","CAK",72,397,11,45,2013-01-22 11:00:00
"22",2013,4,22,1326,1240,46,1519,1415,64,"WN",163,"N227WN","LGA","MKE",108,738,12,40,2013-04-22 12:00:00
"23",2013,11,5,823,825,-2,914,935,-21,"AA",84,"N3ALAA","JFK","BOS",35,187,8,25,2013-11-05 08:00:00
"24",2013,3,10,1922,1917,5,2030,2041,-11,"UA",1064,"N33203","EWR","BOS",36,200,19,17,2013-03-10 19:00:00
"25",2013,4,1,1857,1900,-3,2245,2240,5,"DL",87,"N721TW","JFK","LAX",340,2475,19,0,2013-04-01 19:00:00
"26",2013,2,8,1043,1050,-7,1410,1404,6,"B6",373,"N630JB","LGA","FLL",157,1076,10,50,2013-02-08 10:00:00
"27",2013,1,5,1304,1300,4,1415,1421,-6,"EV",4247,"N18102","EWR","RIC",52,277,13,0,2013-01-05 13:00:00
"28",2013,11,25,1641,1648,-7,1754,1808,-14,"EV",4695,"N13958","EWR","ROC",52,246,16,48,2013-11-25 16:00:00
"29",2013,12,6,741,746,-5,1054,1050,4,"B6",163,"N510JB","JFK","SRQ",158,1041,7,46,2013-12-06 07:00:00
"30",2013,2,13,2030,1858,92,2210,2055,75,"EV",5038,"N761ND","LGA","BHM",140,866,18,58,2013-02-13 18:00:00
"31",2013,2,6,840,845,-5,956,1006,-10,"EV",4112,"N18557","EWR","RIC",54,277,8,45,2013-02-06 08:00:00
"32",2013,1,23,920,850,30,1146,1113,33,"EV",4125,"N16112","EWR","XNA",180,1131,8,50,2013-01-23 08:00:00
"33",2013,9,2,755,800,-5,942,954,-12,"B6",1273,"N266JB","JFK","CHS",87,636,8,0,2013-09-02 08:00:00
"34",2013,12,2,1723,1724,-1,1950,1953,-3,"UA",509,"N580UA","LGA","DEN",231,1620,17,24,2013-12-02 17:00:00
"35",2013,4,2,820,824,-4,1005,1014,-9,"EV",4096,"N48901","EWR","RDU",75,416,8,24,2013-04-02 08:00:00
"36",2013,7,24,1130,1135,-5,1507,1451,16,"DL",954,"N934DL","LGA","FLL",163,1076,11,35,2013-07-24 11:00:00
"37",2013,5,31,1402,1359,3,1618,1647,-29,"UA",591,"N440UA","EWR","IAH",179,1400,13,59,2013-05-31 13:00:00
"38",2013,6,19,948,955,-7,1120,1115,5,"MQ",3670,"N546MQ","LGA","BNA",115,764,9,55,2013-06-19 09:00:00
"39",2013,12,22,2117,2100,17,2226,2214,12,"US",2197,"N767UW","LGA","DCA",47,214,21,0,2013-12-22 21:00:00
"40",2013,9,17,624,630,-6,826,839,-13,"EV",4393,"N14570","EWR","IND",95,645,6,30,2013-09-17 06:00:00
"41",2013,6,27,NA,1655,NA,NA,1950,NA,"AA",1507,"N454AA","EWR","DFW",NA,1372,16,55,2013-06-27 16:00:00
"42",2013,9,4,924,929,-5,1225,1234,-9,"UA",456,"N431UA","EWR","FLL",151,1065,9,29,2013-09-04 09:00:00
"43",2013,12,12,1629,1630,-1,1944,2010,-26,"VX",27,"N843VA","JFK","SFO",357,2586,16,30,2013-12-12 16:00:00
"44",2013,3,29,2050,2059,-9,2259,2320,-21,"B6",115,"N324JB","JFK","MSY",167,1182,20,59,2013-03-29 20:00:00
"45",2013,1,5,659,700,-1,841,850,-9,"AA",305,"N584AA","LGA","ORD",121,733,7,0,2013-01-05 07:00:00
"46",2013,3,16,604,606,-2,737,757,-20,"UA",216,"N431UA","EWR","CLE",72,404,6,6,2013-03-16 06:00:00
"47",2013,11,30,624,629,-5,923,939,-16,"UA",785,"N565UA","EWR","LAX",332,2454,6,29,2013-11-30 06:00:00
"48",2013,9,9,1459,1450,9,1727,1744,-17,"UA",1200,"N24715","EWR","SAN",305,2425,14,50,2013-09-09 14:00:00
"49",2013,3,23,1254,1300,-6,1355,1408,-13,"US",2175,"N753US","LGA","DCA",45,214,13,0,2013-03-23 13:00:00
"50",2013,9,14,453,500,-7,630,648,-18,"US",1877,"N192UW","EWR","CLT",85,529,5,0,2013-09-14 05:00:00
"51",2013,3,25,954,935,19,1102,1120,-18,"WN",2074,"N916WN","LGA","MDW",107,725,9,35,2013-03-25 09:00:00
"52",2013,10,6,856,900,-4,1042,1027,15,"FL",353,"N951AT","LGA","CAK",59,397,9,0,2013-10-06 09:00:00
"53",2013,2,19,1106,1115,-9,1255,1310,-15,"MQ",4485,"N725MQ","LGA","CMH",85,479,11,15,2013-02-19 11:00:00
"54",2013,5,13,1853,1900,-7,2007,2048,-41,"EV",5038,"N708EV","LGA","BHM",112,866,19,0,2013-05-13 19:00:00
"55",2013,5,12,1710,1700,10,1837,1850,-13,"AA",345,"N559AA","LGA","ORD",121,733,17,0,2013-05-12 17:00:00
"56",2013,7,26,836,841,-5,1004,1004,0,"EV",5827,"N13975","EWR","RIC",55,277,8,41,2013-07-26 08:00:00
"57",2013,3,27,1719,1710,9,1928,1912,16,"US",1012,"N179UW","LGA","CLT",90,544,17,10,2013-03-27 17:00:00
"58",2013,9,7,2009,2015,-6,2121,2125,-4,"B6",418,"N231JB","JFK","BOS",41,187,20,15,2013-09-07 20:00:00
"59",2013,1,25,2038,1930,68,2238,2115,83,"EV",3274,"N13553","LGA","CLE",73,419,19,30,2013-01-25 19:00:00
"60",2013,5,13,1425,1359,26,1607,1554,13,"MQ",4577,"N514MQ","LGA","CLT",81,544,13,59,2013-05-13 13:00:00
"61",2013,10,31,1900,1905,-5,2127,2129,-2,"DL",2454,"N397DA","JFK","DEN",227,1626,19,5,2013-10-31 19:00:00
"62",2013,12,2,1022,1030,-8,1344,1410,-26,"US",679,"N548UW","JFK","PHX",296,2153,10,30,2013-12-02 10:00:00
"63",2013,6,11,843,850,-7,1229,1251,-22,"DL",301,"N3757D","JFK","SJU",204,1598,8,50,2013-06-11 08:00:00
"64",2013,6,23,1340,1340,0,1446,1510,-24,"WN",427,"N940WN","LGA","MDW",97,725,13,40,2013-06-23 13:00:00
"65",2013,11,17,1514,1520,-6,1719,1723,-4,"EV",4572,"N48901","EWR","GSP",94,594,15,20,2013-11-17 15:00:00
"66",2013,12,25,1721,1725,-4,1833,1845,-12,"AA",256,"N3ELAA","JFK","BOS",35,187,17,25,2013-12-25 17:00:00
"67",2013,7,12,1715,1702,13,2006,2003,3,"UA",1661,"N25705","LGA","IAH",181,1416,17,2,2013-07-12 17:00:00
"68",2013,8,7,1955,2000,-5,2119,2140,-21,"MQ",3591,"N713MQ","LGA","RDU",63,431,20,0,2013-08-07 20:00:00
"69",2013,7,8,2213,2114,59,25,2358,27,"UA",1740,"N37274","EWR","IAH",165,1400,21,14,2013-07-08 21:00:00
"70",2013,7,30,1742,1734,8,1949,1956,-7,"FL",771,"N273AT","LGA","ATL",103,762,17,34,2013-07-30 17:00:00
"71",2013,8,25,1908,1908,0,2113,2115,-2,"EV",4321,"N16149","EWR","MCI",143,1092,19,8,2013-08-25 19:00:00
"72",2013,8,22,954,957,-3,1157,1202,-5,"US",2054,"N765US","LGA","CLT",80,544,9,57,2013-08-22 09:00:00
"73",2013,12,13,1315,1315,0,1504,1506,-2,"US",802,"N185UW","EWR","CLT",85,529,13,15,2013-12-13 13:00:00
"74",2013,10,26,757,801,-4,1008,1028,-20,"UA",245,"N830UA","EWR","DEN",227,1605,8,1,2013-10-26 08:00:00
"75",2013,4,7,612,610,2,840,846,-6,"UA",231,"N595UA","EWR","LAS",308,2227,6,10,2013-04-07 06:00:00
"76",2013,11,29,1212,1220,-8,1343,1350,-7,"MQ",3461,"N807MQ","LGA","BNA",123,764,12,20,2013-11-29 12:00:00
"77",2013,6,8,648,655,-7,933,935,-2,"AA",1815,"N5DTAA","JFK","MCO",146,944,6,55,2013-06-08 06:00:00
"78",2013,7,31,1514,1510,4,1641,1635,6,"MQ",3433,"N505MQ","JFK","DCA",50,213,15,10,2013-07-31 15:00:00
"79",2013,6,22,1702,1655,7,1813,1822,-9,"EV",4300,"N12135","EWR","RIC",52,277,16,55,2013-06-22 16:00:00
"80",2013,3,3,926,929,-3,1150,1212,-22,"UA",242,"N562UA","EWR","LAS",299,2227,9,29,2013-03-03 09:00:00
"81",2013,1,18,1953,2000,-7,2100,2114,-14,"US",2142,"N958UW","LGA","BOS",38,184,20,0,2013-01-18 20:00:00
"82",2013,7,19,954,959,-5,1155,1207,-12,"EV",4495,"N13969","EWR","SAV",104,708,9,59,2013-07-19 09:00:00
"83",2013,7,7,900,900,0,1249,1258,-9,"UA",1216,"N36444","EWR","SJU",213,1608,9,0,2013-07-07 09:00:00
"84",2013,2,1,555,600,-5,903,906,-3,"B6",125,"N523JB","JFK","FLL",160,1069,6,0,2013-02-01 06:00:00
"85",2013,12,18,729,715,14,903,905,-2,"WN",2606,"N487WN","LGA","STL",133,888,7,15,2013-12-18 07:00:00
"86",2013,5,6,1235,1235,0,1502,1540,-38,"DL",1375,"N3738B","JFK","SLC",242,1990,12,35,2013-05-06 12:00:00
"87",2013,9,20,1020,1010,10,1227,1240,-13,"MQ",3644,"N509MQ","LGA","ATL",98,762,10,10,2013-09-20 10:00:00
"88",2013,11,9,553,600,-7,836,825,11,"DL",1377,"N3748Y","LGA","ATL",118,762,6,0,2013-11-09 06:00:00
"89",2013,4,8,1154,1200,-6,1259,1310,-11,"US",2126,"N961UW","LGA","BOS",33,184,12,0,2013-04-08 12:00:00
"90",2013,12,30,708,704,4,852,840,12,"UA",1262,"N72405","EWR","ORD",123,719,7,4,2013-12-30 07:00:00
"91",2013,3,13,1234,1217,17,1341,1334,7,"EV",4121,"N14972","EWR","ROC",46,246,12,17,2013-03-13 12:00:00
"92",2013,9,3,940,950,-10,1136,1211,-35,"9E",4060,"N840AY","LGA","DAY",85,549,9,50,2013-09-03 09:00:00
"93",2013,8,20,1648,1655,-7,1844,1946,-62,"UA",309,"N408UA","EWR","LAS",281,2227,16,55,2013-08-20 16:00:00
"94",2013,11,17,708,705,3,930,936,-6,"EV",4304,"N18120","EWR","MSY",185,1167,7,5,2013-11-17 07:00:00
"95",2013,6,23,1411,1415,-4,1634,1629,5,"DL",673,"N308DE","EWR","ATL",113,746,14,15,2013-06-23 14:00:00
"96",2013,8,18,955,950,5,1216,1220,-4,"VX",251,"N837VA","JFK","LAS",293,2248,9,50,2013-08-18 09:00:00
"97",2013,6,1,637,645,-8,903,908,-5,"US",654,"N509AY","JFK","PHX",294,2153,6,45,2013-06-01 06:00:00
"98",2013,5,29,738,740,-2,949,1004,-15,"B6",611,"N348JB","JFK","JAX",116,828,7,40,2013-05-29 07:00:00
"99",2013,11,15,1544,1549,-5,1852,1859,-7,"UA",1023,"N39415","EWR","RSW",170,1068,15,49,2013-11-15 15:00:00
"100",2013,3,16,2044,1950,54,2328,2215,73,"UA",1482,"N24212","EWR","DEN",242,1605,19,50,2013-03-16 19:00:00
