"","faa","name","lat","lon","alt","tz","dst","tzone"
"1","6J4","Saluda County",33.5561,-81.4768,539,-5,"A","America/New_York"
"2","MCK","McCook Regional Airport",40.206389,-100.592222,2583,-6,"A","America/Chicago"
"3","VGT","North Las Vegas Airport",36.2106944,-115.1944444,2205,-8,"U","America/Los_Angeles"
"4","STL","Lambert St Louis Intl",38.748697,-90.370028,618,-6,"A","America/Chicago"
"5","LOT","Lewis University Airport",41.606326,-88.083003,680,-6,"A","America/Chicago"
"6","LGC","LaGrange-Callaway Airport",33.0088611,-85.0726111,694,-5,"A","America/New_York"
"7","CAK","Akron Canton Regional Airport",40.9160833,-81.4421944,1228,-5,"A","America/New_York"
"8","LAM","Los Alamos Airport",35.8798019,-106.2694153,7171,-7,"A","America/Denver"
"9","09J","Jekyll Island Airport",31.0744722,-81.4277778,11,-5,"A","America/New_York"
"10","KMO","Manokotak Airport",58.990278,-159.05,51,-9,"A","America/Anchorage"
"11","MWL","Mineral Wells",32.781606,-98.060175,974,-6,"A","America/Chicago"
"12","PIZ","Point Lay Lrrs",69.732875,-163.005342,25,-9,"A","America/Anchorage"
"13","GUS","Grissom Arb",40.648094,-86.152119,812,-5,"A","America/New_York"
"14","CDW","Caldwell Essex County Airport",40.8752222,-74.2813611,172,-5,"A","America/New_York"
"15","DGL","Douglas Municipal Airport",31.3426028,-109.5064544,4173,-7,"N","America/Phoenix"
"16","CKF","Crisp County Cordele Airport",31.9888333,-83.7739167,310,-5,"A","America/New_York"
"17","MFR","Rogue Valley Intl Medford",42.374228,-122.8735,1335,-8,"A","America/Los_Angeles"
"18","FDW","Fairfield County Airport",34.315472,-81.108806,577,-5,"A","America/New_York"
"19","KFP","False Pass Airport",54.8475,-163.410278,20,-9,"A","America/Anchorage"
"20","SKK","Shaktoolik Airport",64.371111,-161.223889,24,-9,"A","America/Anchorage"
"21","GKY","Arlington Municipal",32.6638611,-97.0942778,628,-6,"A","America/Chicago"
"22","JRB","Wall Street Heliport",40.701214,-74.009028,7,-5,"A","America/New_York"
"23","FFC","Atlanta Regional Airport - Falcon Field",33.35725,-84.5718333,808,-5,"A","America/New_York"
"24","EWN","Craven Co Rgnl",35.072972,-77.042944,18,-5,"A","America/New_York"
"25","WHP","Whiteman Airport",34.2593253,-118.4134331,1003,-8,"A","America/Los_Angeles"
"26","19A","Jackson County Airport",34.1758638,-83.5615972,951,-5,"U","America/New_York"
"27","LAW","Lawton-Fort Sill Regional Airport",34.5677144,-98.4166367,1110,-6,"A","America/Chicago"
"28","CCR","Buchanan Field Airport",37.9896667,-122.0568889,26,-8,"A","America/Los_Angeles"
"29","PHO","Point Hope Airport",68.3488,-166.799,12,-9,"A","America/Anchorage"
"30","SQL","San Carlos Airport",37.511944,-122.249444,5,-8,"A","America/Los_Angeles"
"31","CLM","William R Fairchild International Airport",48.1202,-123.5,291,-8,"A","America/Los_Angeles"
"32","6A2","Griffin-Spalding County Airport",33.2269722,-84.2749444,958,-5,"A","America/New_York"
"33","L52","Oceano County Airport",35.10147222,-120.62236111,14,-8,"U","America/Los_Angeles"
"34","HLG","Wheeling Ohio County Airport",40.175,-80.6463,1195,-5,"A","America/New_York"
"35","WWD","Cape May Co",39.008507,-74.908275,23,-5,"A","America/New_York"
"36","ISP","Long Island Mac Arthur",40.79525,-73.100222,99,-5,"A","America/New_York"
"37","ARV","Lakeland",45.927778,-89.730833,1629,-6,"A","America/Chicago"
"38","WTK","Noatak Airport",67.5661,-162.975,88,-9,"A","America/Anchorage"
"39","CVS","Cannon Afb",34.382775,-103.322147,4295,-7,"A","America/Denver"
"40","P08","Coolidge Municipal Airport",32.9359016418457,-111.427001953125,1574,-7,"A","America/Phoenix"
"41","EGX","Egegik Airport",58.185556,-157.375556,92,-9,"A","America/Anchorage"
"42","BYH","Arkansas Intl",35.964347,-89.943956,254,-6,"A","America/Chicago"
"43","FMY","Page Fld",26.586611,-81.86325,17,-5,"A","America/New_York"
"44","RNM","Ramona Airport",33.0391667,-116.91525,1395,-8,"A","America/Los_Angeles"
"45","49A","Gilmer County Airport",34.6282222,-84.5265833,1486,-5,"A","America/New_York"
"46","TUP","Tupelo Regional Airport",34.2681,-88.7699,346,-6,"A","America/Chicago"
"47","EVW","Evanston-Uinta CO Burns Fld",41.1649,-111.0208,7143,-7,"A","America/Denver"
"48","LHM","Lincoln Regional Airport Karl Harder Field",38.9091667,-121.3513333,121,-8,"A","America/Los_Angeles"
"49","4I7","Putnam County Airport",39.6335556,-86.8138056,842,-5,"U","America/New_York"
"50","FAI","Fairbanks Intl",64.815114,-147.856267,434,-9,"A","America/Anchorage"
"51","MSP","Minneapolis St Paul Intl",44.881956,-93.221767,841,-6,"A","America/Chicago"
"52","AGC","Allegheny County Airport",40.3544,-79.9302,1252,-5,"A","America/New_York"
"53","COU","Columbia Rgnl",38.818094,-92.219631,889,-6,"A","America/Chicago"
"54","MIB","Minot Afb",48.415572,-101.357661,1668,-6,"A","America/Chicago"
"55","AGN","Angoon Seaplane Base",57.503611,-134.585,0,-9,"A","America/Anchorage"
"56","Y51","Municipal Airport",43.5793603,-90.8964742,1292,-6,"A","America/Chicago"
"57","DAW","Skyhaven Airport",43.2840556,-70.9292778,321,-5,"A","America/New_York"
"58","PBF","Grider Fld",34.173142,-91.935597,206,-6,"A","America/Chicago"
"59","SMF","Sacramento Intl",38.695417,-121.590778,27,-8,"A","America/Los_Angeles"
"60","GRI","Central Nebraska Regional Airport",40.9675,-98.3096,1847,-6,"A","America/Chicago"
"61","VRB","Vero Beach Muni",27.655556,-80.417944,24,-5,"A","America/New_York"
"62","MQT","Sawyer International Airport",46.353611,-87.395278,1221,-5,"A","America/New_York"
"63","STG","St. George Airport",56.577222,-169.663611,125,-9,"A","America/Anchorage"
"64","NQA","Millington Rgnl Jetport",35.356667,-89.870278,320,-6,"A","America/Chicago"
"65","GLS","Scholes Intl At Galveston",29.265322,-94.860406,6,-6,"A","America/Chicago"
"66","LWB","Greenbrier Valley Airport",37.858333,-80.399444,2302,-5,"U","America/New_York"
"67","ALB","Albany Intl",42.748267,-73.801692,285,-5,"A","America/New_York"
"68","EWR","Newark Liberty Intl",40.6925,-74.168667,18,-5,"A","America/New_York"
"69","LOU","Bowman Fld",38.228,-85.663722,546,-5,"A","America/New_York"
"70","WMO","White Mountain Airport",64.689167,-163.412778,267,-9,"A","America/Anchorage"
"71","MPB","Miami Seaplane Base",25.7783,-80.1703,0,-5,"A","America/New_York"
"72","CYS","Cheyenne Rgnl Jerry Olson Fld",41.155722,-104.811839,6156,-7,"A","America/Denver"
"73","FKL","Franklin",41.377874,-79.860362,1540,-5,"A","America/New_York"
"74","BFM","Mobile Downtown",30.626783,-88.068092,26,-6,"A","America/Chicago"
"75","GCN","Grand Canyon National Park Airport",35.9523611,-112.1469722,6609,-7,"N","America/Phoenix"
"76","SUE","Door County Cherryland Airport",44.8436667,-87.4215556,725,-6,"U","America/Chicago"
"77","CEU","Clemson",34.6722222,-82.8858889,891,-5,"A","America/New_York"
"78","AHN","Athens Ben Epps Airport",33.9486,-83.3263,808,-5,"A","America/New_York"
"79","GAD","Northeast Alabama Regional Airport",33.9726489,-86.0890834,569,-6,"A","America/Chicago"
"80","NEW","Lakefront",30.0424167,-90.02825,7,-6,"A","America/Chicago"
"81","KOZ","Ouzinkie Airport",57.922876,-152.500511,55,-9,"A","America/Anchorage"
"82","OAK","Metropolitan Oakland Intl",37.721278,-122.220722,9,-8,"A","America/Los_Angeles"
"83","BMC","Brigham City",41.552,-112.062,4229,-7,"A","America/Denver"
"84","AIZ","Lee C Fine Memorial Airport",38.096035,-92.5494875,869,-6,"A","America/Chicago"
"85","ACY","Atlantic City Intl",39.457583,-74.577167,75,-5,"A","America/New_York"
"86","TWA","Twin Hills Airport",59.074444,-160.275,82,-9,"A","America/Anchorage"
"87","PEC","Pelican Seaplane Base",57.955278,-136.236389,0,-9,"A","America/Anchorage"
"88","WBB","Stebbins Airport",63.515833,-162.278056,14,-9,"A","America/Anchorage"
"89","BAF","Barnes Municipal",42.1579472,-72.715875,270,-5,"A","America/New_York"
"90","ATW","Appleton",44.257526,-88.507576,680,-6,"A","America/Chicago"
"91","BSF","Bradshaw Aaf",19.760056,-155.553717,6190,-10,"A","Pacific/Honolulu"
"92","JRA","West 30th St. Heliport",40.7545,-74.0071,7,-5,"A","America/New_York"
"93","LBB","Lubbock Preston Smith Intl",33.663639,-101.822778,3282,-6,"A","America/Chicago"
"94","TKE","Tenakee Seaplane Base",57.779722,-135.218333,0,-9,"A","America/Anchorage"
"95","1CS","Clow International Airport",41.6959744,-88.1292306,670,-6,"U","America/Chicago"
"96","STE","Stevens Point Municipal Airport",44.5451356,-89.5302844,1110,-6,"A","America/Chicago"
"97","CYM","Chatham Seaplane Base",57.515,-134.946111,0,-9,"A","America/Anchorage"
"98","SCE","University Park Airport",40.849278,-77.848694,1239,-5,"A","America/New_York"
"99","RIW","Riverton Regional",43.064167,-108.459722,5525,-7,"A","America/Denver"
"100","PSM","Pease International Tradeport",43.0779,-70.8233,100,-5,"A","America/New_York"
