section,year,major_category
Section 02,Sophomore,other
Section 02,First-year,other
Section 02,First-year,other
Section 02,Sophomore,pubpol only
Section 02,Sophomore,other
Section 02,First-year,other
Section 02,First-year,pubpol only
Section 02,First-year,other
Section 02,Sophomore,stats only
Section 02,First-year,pubpol only
Section 02,First-year,pubpol only
Section 02,First-year,other
Section 02,Sophomore,pubpol only
Section 02,Sophomore,compsci only
Section 02,First-year,pubpol only
Section 02,First-year,pubpol only
Section 02,Junior,pubpol only
Section 02,First-year,undecided
Section 02,First-year,stat + other major
Section 02,First-year,other
Section 02,Sophomore,econ only
Section 02,First-year,econ only
Section 02,First-year,stat + other major
Section 02,Sophomore,other
Section 02,First-year,stat + other major
Section 02,Senior,stat + other major
Section 02,First-year,compsci only
Section 02,Sophomore,pubpol only
Section 02,Sophomore,other
Section 02,First-year,stat + other major
Section 02,Senior,other
Section 02,Sophomore,other
Section 02,Sophomore,other
Section 01,Sophomore,other
Section 01,First-year,other
Section 01,Sophomore,compsci only
Section 01,Junior,compsci only
Section 01,First-year,stats only
Section 01,Junior,econ only
Section 01,Sophomore,other
Section 01,Sophomore,compsci only
Section 01,First-year,other
Section 01,Sophomore,other
Section 01,Sophomore,pubpol only
Section 01,Sophomore,compsci only
Section 01,Sophomore,other
Section 01,Sophomore,other
Section 01,Sophomore,stat + other major
Section 01,First-year,other
Section 01,First-year,stat + other major
Section 01,First-year,compsci only
Section 01,Sophomore,other
Section 01,First-year,pubpol only
Section 01,First-year,other
Section 01,Sophomore,compsci only
Section 01,First-year,stats only
Section 01,First-year,econ only
Section 01,First-year,other
Section 01,First-year,stat + other major
Section 01,First-year,other
Section 02,Sophomore,other
Section 02,First-year,other
Section 02,Sophomore,undecided
Section 02,Sophomore,other
Section 01,First-year,pubpol only
Section 01,Sophomore,compsci only
Section 02,Sophomore,other
Section 01,First-year,other
Section 01,Sophomore,compsci only
Section 01,Sophomore,other
Section 02,First-year,other
Section 02,First-year,pubpol only
Section 01,First-year,econ only
Section 01,First-year,compsci only
Section 01,Junior,compsci only
Section 01,Sophomore,other
Section 01,Junior,econ only
Section 01,Sophomore,other
Section 01,Sophomore,compsci only
Section 01,Sophomore,other
Section 01,First-year,pubpol only
Section 01,Junior,other
Section 01,First-year,stat + other major
Section 01,Junior,pubpol only
Section 01,First-year,pubpol only
Section 01,Sophomore,other
Section 01,Sophomore,other
Section 01,Sophomore,other
Section 01,First-year,pubpol only
Section 01,First-year,pubpol only
Section 01,First-year,pubpol only
Section 01,First-year,econ only
Section 01,Sophomore,other
Section 01,Sophomore,econ only
Section 01,Sophomore,other
Section 01,First-year,pubpol only
Section 01,Junior,other
Section 01,First-year,undecided
Section 01,First-year,other
Section 01,Junior,other
Section 01,Junior,other
Section 01,Sophomore,stat + other major
Section 01,First-year,undecided
Section 01,First-year,other
Section 01,Junior,pubpol only
Section 01,First-year,pubpol only
Section 01,First-year,other
Section 01,First-year,other
Section 01,First-year,undecided
Section 01,First-year,pubpol only
Section 01,Sophomore,stat + other major
Section 02,First-year,other
Section 01,Sophomore,compsci only
Section 02,Senior,other
Section 02,First-year,stat + other major
Section 01,Junior,other
Section 02,Junior,compsci only
Section 02,Sophomore,stats only
Section 02,Junior,compsci only
Section 02,Sophomore,other
Section 02,First-year,stat + other major
Section 02,Sophomore,other
Section 02,Sophomore,pubpol only
Section 02,Sophomore,other
Section 02,Sophomore,other
Section 02,Sophomore,pubpol only
Section 02,Sophomore,econ only
Section 02,First-year,compsci only
Section 02,Junior,other
Section 02,Senior,other
Section 02,Sophomore,other
Section 02,First-year,stat + other major
Section 02,First-year,other
Section 02,First-year,econ only
Section 02,Senior,other
Section 02,Sophomore,other
Section 02,Sophomore,compsci only
Section 02,Sophomore,econ only
Section 02,Sophomore,compsci only
Section 02,First-year,stats only
Section 02,First-year,stat + other major
Section 02,First-year,pubpol only
Section 02,First-year,compsci only
Section 02,Sophomore,compsci only
Section 02,Junior,other
Section 02,First-year,pubpol only
Section 02,Sophomore,other
Section 03,Sophomore,compsci only
Section 03,Junior,compsci only
Section 03,Junior,other
Section 03,Junior,stat + other major
Section 03,Sophomore,other
Section 03,Sophomore,other
Section 03,First-year,other
Section 03,Junior,compsci only
Section 03,First-year,other
Section 03,Senior,compsci only
Section 03,First-year,other
Section 03,First-year,stat + other major
Section 03,First-year,stat + other major
Section 03,First-year,stat + other major
Section 03,Sophomore,stat + other major
Section 03,First-year,stat + other major
Section 03,Sophomore,pubpol only
Section 03,Sophomore,undecided
Section 03,Sophomore,stat + other major
Section 03,First-year,other
Section 03,Sophomore,other
Section 03,Sophomore,compsci only
Section 03,First-year,stat + other major
Section 03,Sophomore,undecided
Section 03,First-year,stat + other major
Section 03,First-year,other
Section 03,First-year,stats only
Section 03,First-year,other
Section 03,First-year,stats only
Section 03,Sophomore,stats only
Section 03,Senior,pubpol only
Section 03,Sophomore,compsci only
Section 03,First-year,compsci only
Section 03,First-year,stat + other major
Section 03,First-year,other
Section 03,Sophomore,undecided
Section 03,First-year,pubpol only
Section 03,First-year,econ only
Section 03,First-year,stat + other major
Section 03,First-year,pubpol only
Section 03,Junior,econ only
Section 03,First-year,stat + other major
Section 03,Sophomore,undecided
Section 03,Junior,other
Section 03,Sophomore,econ only
Section 03,Sophomore,other
Section 03,Sophomore,other
Section 03,Sophomore,compsci only
Section 03,Sophomore,other
Section 03,Sophomore,compsci only
Section 03,First-year,other
Section 03,Junior,other
Section 03,First-year,stat + other major
Section 03,Sophomore,compsci only
Section 03,First-year,other
Section 03,Sophomore,compsci only
Section 03,Junior,other
Section 03,Senior,compsci only
Section 03,Sophomore,other
Section 03,Sophomore,econ only
Section 03,Sophomore,compsci only
Section 03,First-year,other
Section 03,First-year,compsci only
Section 03,Senior,other
Section 03,First-year,other
Section 03,First-year,pubpol only
Section 03,First-year,pubpol only
Section 03,First-year,other
Section 03,First-year,other
Section 03,Sophomore,other
Section 03,Sophomore,stat + other major
Section 03,First-year,stat + other major
Section 03,First-year,other
Section 03,Sophomore,other
Section 03,Junior,other
Section 03,Sophomore,other
Section 03,First-year,stat + other major
Section 03,First-year,other
Section 03,Sophomore,compsci only
Section 03,First-year,other
Section 03,First-year,stats only
Section 03,Sophomore,other
Section 03,First-year,other
Section 03,First-year,stat + other major
Section 03,Sophomore,stat + other major
Section 03,Sophomore,pubpol only
Section 03,First-year,stat + other major
Section 03,Sophomore,pubpol only
Section 03,Junior,compsci only
Section 03,Sophomore,compsci only
Section 03,Junior,pubpol only
Section 03,First-year,undecided
Section 03,Sophomore,pubpol only
Section 03,First-year,compsci only
Section 03,Sophomore,stat + other major
Section 03,Sophomore,pubpol only
Section 03,First-year,other
Section 03,First-year,stat + other major
Section 03,Sophomore,compsci only
Section 03,First-year,stats only
